WY_id_1,07-23,07-24,07-25,07-26,07-27,07-28,07-29,07-30,07-31,08-01,average,chg from avg,milking days,ultra,bdate (exp),*,2025-08-01,AM,PM,**,WY_id_2,litres,avg,pct chg from avg,days milking,u_read,expected bdate,group
225,17.0,15.4,18.0,17.4,16.0,15.6,16.4,16.0,16.0,16.0,16.4,-0.0243902439024389,238.0,nan,nan,,225,10.0,6.0,,227,27.0,24.5,0.1020408163265305,80.0,nan,nan,A
227,26.4,24.0,24.0,23.0,25.0,25.4,21.8,23.0,25.0,27.0,24.5,0.1020408163265305,80.0,nan,nan,,227,16.0,11.0,,295,20.4,22.1,-0.0769230769230771,32.0,nan,nan,A
231,14.0,15.0,14.6,14.8,15.0,15.4,17.0,15.2,13.6,15.0,15.0,0.0,334.0,nan,nan,,231,9.0,6.0,,269,18.4,17.4,0.0574712643678161,257.0,nan,nan,A
235,9.4,8.6,8.0,8.0,8.0,7.0,8.0,6.4,7.6,7.0,7.8,-0.1025641025641025,326.0,ok,2025-09-05,,235,4.0,3.0,,282,18.6,16.7,0.1137724550898204,213.0,ok,2026-01-25,A
237,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,8.0,7.0,9.6,-0.2708333333333332,242.0,ok,2025-10-13,,237,4.0,3.0,,241,15.4,16.7,-0.0778443113772454,286.0,x,nan,A
239,11.0,11.0,9.0,10.0,11.0,11.0,10.0,10.4,11.0,12.0,10.6,0.1320754716981131,695.0,ok,2025-10-13,,239,8.0,4.0,,281,15.0,16.5,-0.0909090909090909,217.0,nan,nan,A
241,16.0,16.0,16.6,17.8,17.0,18.0,16.0,16.0,18.0,15.4,16.7,-0.0778443113772454,286.0,x,nan,,241,9.0,6.4,,293,16.4,16.5,-0.0060606060606061,153.0,nan,nan,A
246,14.0,14.0,15.0,16.4,13.0,14.4,15.0,14.6,14.6,15.0,14.6,0.0273972602739727,241.0,x,nan,,246,9.0,6.0,,225,16.0,16.4,-0.0243902439024389,238.0,nan,nan,A
247,3.4,4.0,5.6,5.0,4.4,3.4,3.0,3.0,3.4,3.0,3.8,-0.2105263157894736,300.0,x,nan,,247,2.0,1.0,,283,18.4,16.3,0.1288343558282207,210.0,nan,nan,A
248,15.0,14.2,15.0,15.0,15.0,14.4,15.0,14.0,13.8,14.0,14.5,-0.0344827586206896,269.0,ok,2025-12-19,,248,8.0,6.0,,273,14.4,15.9,-0.0943396226415094,258.0,nan,nan,A
250,12.6,12.0,10.4,9.6,10.6,11.2,11.0,11.8,11.0,11.0,11.1,-0.009009009009009,639.0,ok,2026-01-14,,250,7.0,4.0,,272,15.6,15.6,0.0,291.0,ok,2025-11-24,A
254,16.0,14.4,15.0,15.4,14.4,14.0,15.0,16.2,16.0,15.4,15.2,0.0131578947368422,259.0,x,nan,,254,9.0,6.4,,263,15.0,15.4,-0.0259740259740259,360.0,nan,nan,A
259,18.4,16.0,18.4,16.4,16.8,16.6,10.0,6.4,11.0,14.4,14.4,0.0,374.0,nan,nan,,259,8.0,6.4,,254,15.4,15.2,0.0131578947368422,259.0,x,nan,A
260,11.0,10.0,11.0,11.0,11.6,11.4,12.0,10.6,11.0,10.4,11.0,-0.0545454545454545,374.0,ok,2025-10-11,,260,6.4,4.0,,287,17.4,15.2,0.144736842105263,192.0,nan,nan,A
261,11.0,11.8,10.4,9.6,11.0,11.0,10.0,10.0,11.0,9.4,10.5,-0.1047619047619047,372.0,nan,nan,,261,5.4,4.0,,288,12.6,15.1,-0.1655629139072847,184.0,x,nan,A
262,13.4,12.6,13.6,14.0,15.0,14.4,15.0,14.6,13.0,13.0,13.9,-0.0647482014388489,369.0,nan,nan,,262,8.0,5.0,,231,15.0,15.0,0.0,334.0,nan,nan,A
263,15.4,15.0,14.4,15.0,15.6,16.0,18.0,15.0,14.6,15.0,15.4,-0.0259740259740259,360.0,nan,nan,,263,9.0,6.0,,271,14.4,14.8,-0.027027027027027,294.0,nan,nan,A
266,11.8,11.0,12.0,10.0,13.0,14.0,11.6,12.4,11.6,11.0,11.8,-0.0677966101694915,290.0,x,nan,,266,6.0,5.0,,291,15.0,14.8,0.0135135135135133,172.0,nan,nan,B
267,8.0,7.0,7.0,6.4,6.63,6.0,6.0,7.0,6.6,7.0,6.8,0.0294117647058824,283.0,ok,2025-09-09,,267,4.0,3.0,,246,15.0,14.6,0.0273972602739727,241.0,x,nan,A
269,17.0,18.4,17.0,16.0,16.4,16.8,17.0,19.0,18.4,18.4,17.4,0.0574712643678161,257.0,nan,nan,,268,2.0,nan,,248,14.0,14.5,-0.0344827586206896,269.0,ok,2025-12-19,A
270,12.0,13.4,12.0,14.0,12.0,13.0,13.0,10.8,12.0,11.4,12.4,-0.0806451612903226,295.0,x,nan,,269,11.0,7.4,,259,14.4,14.4,0.0,374.0,nan,nan,A
271,14.0,14.0,14.0,15.6,15.0,14.6,15.8,15.4,15.0,14.4,14.8,-0.027027027027027,294.0,nan,nan,,270,7.0,4.4,,292,14.0,14.3,-0.020979020979021,167.0,nan,nan,B
272,16.0,14.4,16.0,16.8,16.0,15.4,15.34,14.4,16.0,15.6,15.6,0.0,291.0,ok,2025-11-24,,271,9.0,5.4,,276,12.0,14.1,-0.1489361702127659,243.0,ok,2026-02-09,B
273,15.6,14.6,16.0,16.0,16.0,18.0,16.2,17.0,15.0,14.4,15.9,-0.0943396226415094,258.0,nan,nan,,272,9.0,6.6,,284,13.6,14.0,-0.0285714285714285,201.0,ok,2026-01-08,B
275,9.6,9.0,8.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,9.4,-0.0425531914893617,253.0,nan,nan,,273,9.0,5.4,,262,13.0,13.9,-0.0647482014388489,369.0,nan,nan,B
276,12.0,13.0,14.4,14.4,15.6,14.0,16.0,15.0,15.0,12.0,14.1,-0.1489361702127659,243.0,ok,2026-02-09,,275,5.0,4.0,,280,12.6,12.6,0.0,224.0,nan,nan,B
277,12.0,11.0,9.0,9.0,10.0,11.6,11.0,11.0,10.4,10.4,10.5,-0.0095238095238094,243.0,nan,nan,,276,8.0,4.0,,270,11.4,12.4,-0.0806451612903226,295.0,x,nan,B
278,7.0,8.2,7.0,6.6,7.6,7.6,8.0,7.4,6.4,6.0,7.2,-0.1666666666666667,238.0,ok,2025-10-24,,277,6.4,4.0,,299,14.0,12.0,0.1666666666666667,2.0,nan,nan,ฉีดยา
280,13.0,11.0,12.4,11.4,12.6,12.6,14.0,13.0,13.0,12.6,12.6,0.0,224.0,nan,nan,,278,3.6,2.4,,266,11.0,11.8,-0.0677966101694915,290.0,x,nan,B
281,17.0,15.0,17.0,16.8,16.0,17.4,17.0,17.0,16.4,15.0,16.5,-0.0909090909090909,217.0,nan,nan,,280,7.6,5.0,,250,11.0,11.1,-0.009009009009009,639.0,ok,2026-01-14,B
282,16.6,16.4,17.2,17.0,15.8,16.0,16.0,17.0,16.4,18.6,16.7,0.1137724550898204,213.0,ok,2026-01-25,,281,9.0,6.0,,294,10.0,11.1,-0.099099099099099,94.0,nan,nan,B
283,17.0,16.4,16.4,16.0,14.0,16.6,15.6,14.8,17.6,18.4,16.3,0.1288343558282207,210.0,nan,nan,,282,11.6,7.0,,260,10.4,11.0,-0.0545454545454545,374.0,ok,2025-10-11,B
284,14.0,14.6,13.0,13.0,14.4,15.0,14.6,14.0,14.0,13.6,14.0,-0.0285714285714285,201.0,ok,2026-01-08,,283,11.4,7.0,,239,12.0,10.6,0.1320754716981131,695.0,ok,2025-10-13,B
286,8.6,10.0,8.4,8.4,9.6,6.6,9.0,8.0,9.4,10.4,8.8,0.1818181818181816,194.0,nan,nan,,284,7.6,6.0,,277,10.4,10.5,-0.0095238095238094,243.0,nan,nan,B
287,15.0,15.4,17.0,10.0,18.0,13.6,15.0,13.6,17.4,17.4,15.2,0.144736842105263,192.0,nan,nan,,286,5.4,5.0,,261,9.4,10.5,-0.1047619047619047,372.0,nan,nan,B
288,15.4,16.6,15.0,15.0,15.0,15.4,15.0,15.0,15.6,12.6,15.1,-0.1655629139072847,184.0,x,nan,,287,11.0,6.4,,237,7.0,9.6,-0.2708333333333332,242.0,ok,2025-10-13,A
290,8.4,7.199999999999999,7.0,7.0,7.0,8.0,8.0,8.0,6.4,7.0,7.4,-0.054054054054054,180.0,nan,nan,,288,8.0,4.6,,275,9.0,9.4,-0.0425531914893617,253.0,nan,nan,B
291,12.0,13.6,14.0,15.4,15.0,16.4,16.0,15.0,16.0,15.0,14.8,0.0135135135135133,172.0,nan,nan,,290,4.0,3.0,,286,10.4,8.8,0.1818181818181816,194.0,nan,nan,B
292,15.0,12.0,14.4,13.4,15.0,15.2,15.0,14.4,15.0,14.0,14.3,-0.020979020979021,167.0,nan,nan,,291,9.0,6.0,,235,7.0,7.8,-0.1025641025641025,326.0,ok,2025-09-05,B
293,15.4,15.8,16.0,15.8,17.0,17.0,16.4,18.0,17.0,16.4,16.5,-0.0060606060606061,153.0,nan,nan,,292,9.0,5.0,,290,7.0,7.4,-0.054054054054054,180.0,nan,nan,B
294,11.0,9.6,11.0,12.0,11.0,11.0,12.0,12.4,10.6,10.0,11.1,-0.099099099099099,94.0,nan,nan,,293,10.4,6.0,,278,6.0,7.2,-0.1666666666666667,238.0,ok,2025-10-24,B
295,22.8,22.0,24.0,23.0,23.4,22.0,22.0,22.6,19.0,20.4,22.1,-0.0769230769230771,32.0,nan,nan,,294,6.0,4.0,,267,7.0,6.8,0.0294117647058824,283.0,ok,2025-09-09,B
299,nan,nan,nan,nan,nan,nan,nan,8.0,14.0,14.0,12.0,0.1666666666666667,2.0,nan,nan,,295,12.4,8.0,,247,3.0,3.8,-0.2105263157894736,300.0,x,nan,B
avg,13.576190476190478,13.180952380952382,13.433333333333334,13.24761904761905,13.581666666666663,13.666666666666666,13.565238095238096,13.10232558139535,13.297674418604652,13.139534883720929,13.355813953488374,-0.0161936270242037,nan,nan,nan,,299,8.0,6.0,
total,570.2,553.6,564.2,556.4000000000001,570.43,574.0,569.74,563.4000000000001,571.8000000000001,564.9999999999999,574.3000000000001,-0.0161936270242036,nan,nan,nan,,
